"Notes"	"Age of Mother Year"	"Age of Mother Year Code"	"Plurality or Multiple Birth"	"Plurality or Multiple Birth Code"	"LMP Gestational Age Weekly"	"LMP Gestational Age Weekly Code"	Births
	"12 years and under"	"12"	"Single"	"1"	"26 weeks"	"26"	1
	"12 years and under"	"12"	"Single"	"1"	"30 weeks"	"30"	2
	"12 years and under"	"12"	"Single"	"1"	"32 weeks"	"32"	3
	"12 years and under"	"12"	"Single"	"1"	"34 weeks"	"34"	1
	"12 years and under"	"12"	"Single"	"1"	"35 weeks"	"35"	2
	"12 years and under"	"12"	"Single"	"1"	"36 weeks"	"36"	3
	"12 years and under"	"12"	"Single"	"1"	"37 weeks"	"37"	6
	"12 years and under"	"12"	"Single"	"1"	"38 weeks"	"38"	13
	"12 years and under"	"12"	"Single"	"1"	"39 weeks"	"39"	18
	"12 years and under"	"12"	"Single"	"1"	"40 weeks"	"40"	8
	"12 years and under"	"12"	"Single"	"1"	"41 weeks"	"41"	3
	"12 years and under"	"12"	"Single"	"1"	"42 weeks"	"42"	1
	"13 years"	"13"	"Single"	"1"	"20 weeks"	"20"	1
	"13 years"	"13"	"Single"	"1"	"22 weeks"	"22"	1
	"13 years"	"13"	"Single"	"1"	"23 weeks"	"23"	1
	"13 years"	"13"	"Single"	"1"	"24 weeks"	"24"	1
	"13 years"	"13"	"Single"	"1"	"25 weeks"	"25"	1
	"13 years"	"13"	"Single"	"1"	"26 weeks"	"26"	1
	"13 years"	"13"	"Single"	"1"	"27 weeks"	"27"	1
	"13 years"	"13"	"Single"	"1"	"28 weeks"	"28"	4
	"13 years"	"13"	"Single"	"1"	"29 weeks"	"29"	1
	"13 years"	"13"	"Single"	"1"	"30 weeks"	"30"	3
	"13 years"	"13"	"Single"	"1"	"31 weeks"	"31"	4
	"13 years"	"13"	"Single"	"1"	"32 weeks"	"32"	6
	"13 years"	"13"	"Single"	"1"	"33 weeks"	"33"	7
	"13 years"	"13"	"Single"	"1"	"34 weeks"	"34"	6
	"13 years"	"13"	"Single"	"1"	"35 weeks"	"35"	18
	"13 years"	"13"	"Single"	"1"	"36 weeks"	"36"	20
	"13 years"	"13"	"Single"	"1"	"37 weeks"	"37"	40
	"13 years"	"13"	"Single"	"1"	"38 weeks"	"38"	42
	"13 years"	"13"	"Single"	"1"	"39 weeks"	"39"	54
	"13 years"	"13"	"Single"	"1"	"40 weeks"	"40"	48
	"13 years"	"13"	"Single"	"1"	"41 weeks"	"41"	22
	"13 years"	"13"	"Single"	"1"	"42 weeks"	"42"	5
	"13 years"	"13"	"Single"	"1"	"43 weeks"	"43"	5
	"13 years"	"13"	"Single"	"1"	"44 weeks"	"44"	1
	"13 years"	"13"	"Single"	"1"	"45 weeks"	"45"	1
	"13 years"	"13"	"Single"	"1"	"46 weeks"	"46"	2
	"13 years"	"13"	"Single"	"1"	"47 weeks"	"47"	1
	"13 years"	"13"	"Single"	"1"	"Unknown or Not Stated"	"99"	3
	"14 years"	"14"	"Single"	"1"	"18 weeks"	"18"	2
	"14 years"	"14"	"Single"	"1"	"19 weeks"	"19"	3
	"14 years"	"14"	"Single"	"1"	"21 weeks"	"21"	1
	"14 years"	"14"	"Single"	"1"	"22 weeks"	"22"	4
	"14 years"	"14"	"Single"	"1"	"23 weeks"	"23"	5
	"14 years"	"14"	"Single"	"1"	"24 weeks"	"24"	3
	"14 years"	"14"	"Single"	"1"	"25 weeks"	"25"	4
	"14 years"	"14"	"Single"	"1"	"26 weeks"	"26"	3
	"14 years"	"14"	"Single"	"1"	"27 weeks"	"27"	6
	"14 years"	"14"	"Single"	"1"	"28 weeks"	"28"	9
	"14 years"	"14"	"Single"	"1"	"29 weeks"	"29"	14
	"14 years"	"14"	"Single"	"1"	"30 weeks"	"30"	8
	"14 years"	"14"	"Single"	"1"	"31 weeks"	"31"	17
	"14 years"	"14"	"Single"	"1"	"32 weeks"	"32"	18
	"14 years"	"14"	"Single"	"1"	"33 weeks"	"33"	31
	"14 years"	"14"	"Single"	"1"	"34 weeks"	"34"	47
	"14 years"	"14"	"Single"	"1"	"35 weeks"	"35"	51
	"14 years"	"14"	"Single"	"1"	"36 weeks"	"36"	81
	"14 years"	"14"	"Single"	"1"	"37 weeks"	"37"	130
	"14 years"	"14"	"Single"	"1"	"38 weeks"	"38"	207
	"14 years"	"14"	"Single"	"1"	"39 weeks"	"39"	310
	"14 years"	"14"	"Single"	"1"	"40 weeks"	"40"	241
	"14 years"	"14"	"Single"	"1"	"41 weeks"	"41"	102
	"14 years"	"14"	"Single"	"1"	"42 weeks"	"42"	29
	"14 years"	"14"	"Single"	"1"	"43 weeks"	"43"	21
	"14 years"	"14"	"Single"	"1"	"44 weeks"	"44"	12
	"14 years"	"14"	"Single"	"1"	"45 weeks"	"45"	12
	"14 years"	"14"	"Single"	"1"	"46 weeks"	"46"	6
	"14 years"	"14"	"Single"	"1"	"47 weeks"	"47"	3
	"14 years"	"14"	"Single"	"1"	"Unknown or Not Stated"	"99"	2
	"14 years"	"14"	"Twin"	"2"	"23 weeks"	"23"	1
	"14 years"	"14"	"Twin"	"2"	"28 weeks"	"28"	2
	"14 years"	"14"	"Twin"	"2"	"29 weeks"	"29"	4
	"14 years"	"14"	"Twin"	"2"	"34 weeks"	"34"	2
	"14 years"	"14"	"Twin"	"2"	"35 weeks"	"35"	2
	"14 years"	"14"	"Twin"	"2"	"36 weeks"	"36"	4
	"14 years"	"14"	"Twin"	"2"	"37 weeks"	"37"	4
	"14 years"	"14"	"Triplet"	"3"	"26 weeks"	"26"	3
	"15 years"	"15"	"Single"	"1"	"17 weeks"	"17"	2
	"15 years"	"15"	"Single"	"1"	"20 weeks"	"20"	4
	"15 years"	"15"	"Single"	"1"	"21 weeks"	"21"	2
	"15 years"	"15"	"Single"	"1"	"22 weeks"	"22"	5
	"15 years"	"15"	"Single"	"1"	"23 weeks"	"23"	11
	"15 years"	"15"	"Single"	"1"	"24 weeks"	"24"	8
	"15 years"	"15"	"Single"	"1"	"25 weeks"	"25"	14
	"15 years"	"15"	"Single"	"1"	"26 weeks"	"26"	11
	"15 years"	"15"	"Single"	"1"	"27 weeks"	"27"	12
	"15 years"	"15"	"Single"	"1"	"28 weeks"	"28"	17
	"15 years"	"15"	"Single"	"1"	"29 weeks"	"29"	18
	"15 years"	"15"	"Single"	"1"	"30 weeks"	"30"	25
	"15 years"	"15"	"Single"	"1"	"31 weeks"	"31"	37
	"15 years"	"15"	"Single"	"1"	"32 weeks"	"32"	52
	"15 years"	"15"	"Single"	"1"	"33 weeks"	"33"	66
	"15 years"	"15"	"Single"	"1"	"34 weeks"	"34"	122
	"15 years"	"15"	"Single"	"1"	"35 weeks"	"35"	133
	"15 years"	"15"	"Single"	"1"	"36 weeks"	"36"	249
	"15 years"	"15"	"Single"	"1"	"37 weeks"	"37"	453
	"15 years"	"15"	"Single"	"1"	"38 weeks"	"38"	774
	"15 years"	"15"	"Single"	"1"	"39 weeks"	"39"	1191
	"15 years"	"15"	"Single"	"1"	"40 weeks"	"40"	818
	"15 years"	"15"	"Single"	"1"	"41 weeks"	"41"	342
	"15 years"	"15"	"Single"	"1"	"42 weeks"	"42"	108
	"15 years"	"15"	"Single"	"1"	"43 weeks"	"43"	73
	"15 years"	"15"	"Single"	"1"	"44 weeks"	"44"	38
	"15 years"	"15"	"Single"	"1"	"45 weeks"	"45"	26
	"15 years"	"15"	"Single"	"1"	"46 weeks"	"46"	4
	"15 years"	"15"	"Single"	"1"	"47 weeks"	"47"	15
	"15 years"	"15"	"Single"	"1"	"Unknown or Not Stated"	"99"	11
	"15 years"	"15"	"Twin"	"2"	"19 weeks"	"19"	1
	"15 years"	"15"	"Twin"	"2"	"20 weeks"	"20"	2
	"15 years"	"15"	"Twin"	"2"	"23 weeks"	"23"	2
	"15 years"	"15"	"Twin"	"2"	"25 weeks"	"25"	2
	"15 years"	"15"	"Twin"	"2"	"26 weeks"	"26"	4
	"15 years"	"15"	"Twin"	"2"	"27 weeks"	"27"	3
	"15 years"	"15"	"Twin"	"2"	"28 weeks"	"28"	4
	"15 years"	"15"	"Twin"	"2"	"29 weeks"	"29"	4
	"15 years"	"15"	"Twin"	"2"	"30 weeks"	"30"	2
	"15 years"	"15"	"Twin"	"2"	"31 weeks"	"31"	2
	"15 years"	"15"	"Twin"	"2"	"33 weeks"	"33"	9
	"15 years"	"15"	"Twin"	"2"	"34 weeks"	"34"	2
	"15 years"	"15"	"Twin"	"2"	"35 weeks"	"35"	12
	"15 years"	"15"	"Twin"	"2"	"36 weeks"	"36"	6
	"15 years"	"15"	"Twin"	"2"	"37 weeks"	"37"	2
	"15 years"	"15"	"Twin"	"2"	"38 weeks"	"38"	6
	"15 years"	"15"	"Twin"	"2"	"39 weeks"	"39"	2
	"15 years"	"15"	"Twin"	"2"	"40 weeks"	"40"	2
	"15 years"	"15"	"Twin"	"2"	"41 weeks"	"41"	2
	"15 years"	"15"	"Twin"	"2"	"Unknown or Not Stated"	"99"	1
	"16 years"	"16"	"Single"	"1"	"17 weeks"	"17"	1
	"16 years"	"16"	"Single"	"1"	"18 weeks"	"18"	1
	"16 years"	"16"	"Single"	"1"	"19 weeks"	"19"	2
	"16 years"	"16"	"Single"	"1"	"20 weeks"	"20"	5
	"16 years"	"16"	"Single"	"1"	"21 weeks"	"21"	9
	"16 years"	"16"	"Single"	"1"	"22 weeks"	"22"	11
	"16 years"	"16"	"Single"	"1"	"23 weeks"	"23"	5
	"16 years"	"16"	"Single"	"1"	"24 weeks"	"24"	18
	"16 years"	"16"	"Single"	"1"	"25 weeks"	"25"	18
	"16 years"	"16"	"Single"	"1"	"26 weeks"	"26"	17
